01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
aqua-data-studio | Aqua Data Studio | DBaaS / Serverless Databases | subscription | no free tier | low lock-in
aqua-security | Aqua Security | Security Scanning / Mobile App Sec | freemium, $1 | free tier | medium lock-in
aquarium-learning | Aquarium Learning | AI API / SDK for Developers | custom | no free tier | medium lock-in
arangodb | ArangoDB | DBaaS / Serverless Databases | freemium | free tier | low lock-in
aravo | Aravo | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
arc-dev | Arc.dev | Customer Support SDK / In-app Helpdesk | free | free tier | low lock-in
arcade-dev | Arcade.dev | AI API / SDK for Developers | freemium | free tier | medium lock-in
arcadedb | ArcadeDB | DBaaS / Serverless Databases | freemium | free tier | low lock-in
arcee-ai | Arcee AI | AI API / SDK for Developers | freemium | free tier | low lock-in
archbee | Archbee | Developer Portals / API Management | subscription | free tier | medium lock-in
archer | Archer | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
archera | Archera | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
archipelo | Archipelo | Developer Portals / API Management | custom | no free tier | high lock-in
architect-arc-codes | Architect (arc.codes) | CDN / Edge / Acceleration | free | free tier | low lock-in
archivebox | ArchiveBox | Object Storage / Media API | free | free tier | low lock-in
archunit | ArchUnit | Test Automation / Device Cloud | free | free tier | low lock-in
arcserve | Arcserve | Object Storage / Media API | subscription | no free tier | medium lock-in
arctic | Arctic | Identity / Auth / User Management | free | free tier | low lock-in
arduino-cloud | Arduino Cloud | Backend-as-a-Service | freemium | free tier | medium lock-in
areeba | Areeba | Payment Gateway / PSP | usage | no free tier | high lock-in
argil-ai | Argil AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
argilla | Argilla | AI API / SDK for Developers | free | free tier | low lock-in
argo-rollouts | Argo Rollouts | Feature Flags / Remote Config | free | free tier | low lock-in
argo-workflows | Argo Workflows | CDN / Edge / Acceleration | free | free tier | low lock-in
argocd | ArgoCD | CDN / Edge / Acceleration | free | free tier | low lock-in
argos | Argos | Test Automation / Device Cloud | freemium | free tier | medium lock-in
argyle | Argyle | Data Integration / ETL / Reverse ETL | usage | no free tier | medium lock-in
arize-ai | Arize AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
ark-ui | Ark UI | No-code / Low-code App Builders | free | free tier | low lock-in
arkose-labs | Arkose Labs | Fraud & Risk Management | custom | no free tier | high lock-in
arktype | Arktype | Backend-as-a-Service | free | free tier | low lock-in
arm-mobile-studio | Arm Mobile Studio | Game Development Tools | free | free tier | low lock-in
armo | ARMO | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
armorcode | ArmorCode | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
arq | ARQ | Backend-as-a-Service | free | free tier | low lock-in
arrow | Arrow | Developer Portals / API Management | free | free tier | low lock-in
arthur-ai | Arthur AI | Observability / Logging / Tracing | custom | no free tier | medium lock-in
arti-tor | Arti Tor | Security Scanning / Mobile App Sec | free | free tier | low lock-in
artillery | Artillery | Test Automation / Device Cloud | freemium | free tier | low lock-in
artisan-co | Artisan | CRM / Lifecycle Automation | subscription | no free tier | medium lock-in
arvancloud | ArvanCloud | CDN / Edge / Acceleration | usage | free tier | medium lock-in
asaas | Asaas | Payment Gateway / PSP | usage | free tier | high lock-in
asdf | asdf | CDN / Edge / Acceleration | free | free tier | low lock-in
aseprite | Aseprite | Game Development Tools | subscription | no free tier | low lock-in
aserto | Aserto | Identity / Auth / User Management | freemium, $0.20 | free tier | medium lock-in
aso-dev | ASO.dev | App Growth Tooling (ASO) | subscription | free tier | medium lock-in
aso-mobile | ASO Mobile | In-app Purchase Optimization | subscription, $59 | no free tier | medium lock-in
aso-world | ASO World | App Growth Tooling (ASO) | usage | no free tier | medium lock-in
asodesk | Asodesk | App Growth Tooling (ASO) | subscription, $1 | free tier | medium lock-in
asolytics | Asolytics | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
asotools | ASOTools | App Growth Tooling (ASO) | free | free tier | high lock-in
aspect-build | Aspect Build | CI/CD for Applications | freemium | free tier | medium lock-in
aspecto | Aspecto | Performance Monitoring / APM | freemium | free tier | medium lock-in
aspen-mesh | Aspen Mesh | Backend-as-a-Service | custom | no free tier | medium lock-in
aspire-app | Aspire | Payment Gateway / PSP | freemium | free tier | medium lock-in
assembla | Assembla | CI/CD for Applications | subscription | no free tier | medium lock-in
assemblyai | AssemblyAI | Developer Portals / API Management | usage, $0.15 | free tier | medium lock-in
assertible | Assertible | Developer Portals / API Management | freemium | free tier | medium lock-in
assertj | AssertJ | Test Automation / Device Cloud | free | free tier | high lock-in
assistiv-labs | Assistiv Labs | Accessibility / A11y Testing | subscription | free tier | medium lock-in
ast-grep | ast-grep | Code Assistants / Agent Tooling | free | free tier | high lock-in
astra-security | Astra Security | Content Moderation API | subscription | no free tier | medium lock-in
astradb | AstraDB | AI API / SDK for Developers | freemium | free tier | medium lock-in
astro | Astro | Backend-as-a-Service | free | free tier | high lock-in
astro-aso | Astro (ASO) | App Growth Tooling (ASO) | subscription | no free tier | high lock-in
astronomer | Astronomer | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
atatus | Atatus | Performance Monitoring / APM | freemium | free tier | medium lock-in
athenian | Athenian | Observability / Logging / Tracing | custom | no free tier | medium lock-in
atheris | Atheris | Security Scanning / Mobile App Sec | free | free tier | high lock-in
atlan | Atlan | Data Integration / ETL / Reverse ETL | custom | no free tier | medium lock-in
atlantis | Atlantis | CDN / Edge / Acceleration | free | free tier | high lock-in
atlas | Atlas | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
atmos | Atmos | CDN / Edge / Acceleration | free | free tier | high lock-in
atmosly | Atmosly | Backend-as-a-Service | custom | no free tier | medium lock-in
atomic-financial | Atomic Financial | Data Integration / ETL / Reverse ETL | usage | no free tier | medium lock-in
attaxion | Attaxion | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
attention-insight | Attention Insight | Design Tools / Design-to-Code | freemium | free tier | high lock-in
attrs | attrs | Code Assistants / Agent Tooling | free | free tier | high lock-in
atuin | Atuin | Code Assistants / Agent Tooling | free | free tier | high lock-in
au10tix | Au10tix | KYC / KYB / AML API | subscription, $500 | no free tier | medium lock-in
audioeye | AudioEye | Compliance Automation | subscription | no free tier | medium lock-in
auditboard | AuditBoard | Security Scanning / Mobile App Sec | freemium, $1 | free tier | medium lock-in
augment-code | Augment Code | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
auth0 | Auth0 | Identity / Auth / User Management | freemium, $5 | free tier | low lock-in
authelia | Authelia | Security Scanning / Mobile App Sec | free | free tier | high lock-in
authentik | authentik | Identity / Auth / User Management | freemium | free tier | high lock-in
authgear | Authgear | Identity / Auth / User Management | freemium | free tier | medium lock-in
authlib | Authlib | Security Scanning / Mobile App Sec | free | free tier | high lock-in
authologic | Authologic | Identity / Auth / User Management | custom | no free tier | medium lock-in
authomize | Authomize | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
authorize-net | Authorize.net | Payment Gateway / PSP | subscription, $25 | free tier | low lock-in
authsignal | Authsignal | Identity / Auth / User Management | freemium, Usage-based | no free tier | medium lock-in
autify | Autify | Test Automation / Device Cloud | subscription, $600 /year | free tier | medium lock-in
autocannon | autocannon | Test Automation / Device Cloud | free | free tier | high lock-in
autogen | AutoGen | AI API / SDK for Developers | free | free tier | high lock-in
autogluon | AutoGluon | AI API / SDK for Developers | free | free tier | high lock-in
autogpt | AutoGPT | AI API / SDK for Developers | free | free tier | high lock-in
autokeras | AutoKeras | AI API / SDK for Developers | free | free tier | high lock-in
autolocalise | AutoLocalise | Localization / Translation API | freemium | free tier | medium lock-in
automate-io | Automate.io | Developer Portals / API Management | freemium | free tier | medium lock-in
automatic1111 | Automatic1111 | AI API / SDK for Developers | free | free tier | high lock-in
automation-anywhere | Automation Anywhere | Data Integration / ETL / Reverse ETL | custom | no free tier | low lock-in
automatisch | Automatisch | No-code / Low-code App Builders | free | free tier | high lock-in
automerge | Automerge | Real-time / WebSocket Infrastructure | free | free tier | high lock-in
automq | AutoMQ | Real-time / WebSocket Infrastructure | free | free tier | high lock-in
autonoma-ai | Autonoma AI | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
autopep8 | autopep8 | Code Assistants / Agent Tooling | free | free tier | high lock-in
autotrain-huggingface | AutoTrain (HuggingFace) | AI API / SDK for Developers | freemium | free tier | medium lock-in
ava-js | AVA | Test Automation / Device Cloud | free | free tier | high lock-in
avalara | Avalara | Invoicing / Taxes / Sales Tax | subscription, $119 | no free tier | medium lock-in
avalonia-ui | Avalonia UI | No-code / Low-code App Builders | free | free tier | high lock-in
aviator | Aviator | CI/CD for Applications | freemium, $10 | free tier | medium lock-in
avo | Avo | Product Analytics | freemium | free tier | medium lock-in
avocode | Avocode | No-code / Low-code App Builders | subscription | no free tier | medium lock-in
aws-amplify | AWS Amplify | Backend-as-a-Service | freemium, $15/month | free tier | low lock-in
aws-api-gateway | AWS API Gateway | Data Integration / ETL / Reverse ETL | subscription, $0.02 | free tier | low lock-in
aws-appsync | AWS AppSync | Developer Portals / API Management | usage | free tier | low lock-in
aws-bedrock | AWS Bedrock | Developer Portals / API Management | subscription, $6.00 | free tier | medium lock-in
aws-cloudformation | AWS CloudFormation | CDN / Edge / Acceleration | free | free tier | low lock-in
aws-codewhisperer | AWS CodeWhisperer | AI API / SDK for Developers | freemium | free tier | high lock-in
aws-cognito | AWS Cognito | Identity / Auth / User Management | usage | free tier | low lock-in
aws-device-farm | AWS Device Farm | Test Automation / Device Cloud | subscription, $250.00/MONTH | free tier | medium lock-in
aws-ecr | AWS ECR | CDN / Edge / Acceleration | usage | free tier | medium lock-in
aws-glue | AWS Glue | Data Integration / ETL / Reverse ETL | usage | no free tier | low lock-in
aws-sam | AWS SAM | CDN / Edge / Acceleration | free | free tier | low lock-in
aws-sam-cli | AWS SAM CLI | CDN / Edge / Acceleration | free | free tier | low lock-in
aws-secrets-manager | AWS Secrets Manager | Secrets Management | subscription, $0.02 | free tier | low lock-in
aws-step-functions | AWS Step Functions | Data Integration / ETL / Reverse ETL | usage | free tier | low lock-in
ax-platform | Ax Platform | AI API / SDK for Developers | free | free tier | high lock-in
axcient | Axcient | Object Storage / Media API | custom | no free tier | medium lock-in
